t=2026-08-05T13:52:07+0700 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-08-05T13:52:07+0700 lvl=info msg="no configuration paths supplied"
t=2026-08-05T13:52:07+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-05T13:52:07+0700 lvl=info msg="open config file" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-05T13:52:07+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-05T13:52:07+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=f567b8d774a9 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=09ca73bffa23 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=ce64efcb2ab0 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=44deadfe18b0 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=58ba7e575008 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=10fe17df5aec l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=cbda2c64ce52 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:50+0700 lvl=info msg="join connections" obj=join id=23961274d7d6 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:51+0700 lvl=info msg="join connections" obj=join id=14d7e20ee352 l=127.0.0.1:5173 r=27.67.93.159:17634
t=2026-08-05T14:00:51+0700 lvl=info msg="join connections" obj=join id=c7e6a00aef17 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:51+0700 lvl=info msg="join connections" obj=join id=d28c21c6da81 l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:51+0700 lvl=info msg="join connections" obj=join id=d4d0f3239d1b l=127.0.0.1:5173 r=27.67.93.159:64160
t=2026-08-05T14:00:57+0700 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=4e01f8020285 clientid=e387ec794de78e4dd7bec0eca44f9904
t=2026-08-05T14:03:45+0700 lvl=info msg="join connections" obj=join id=cfe5cdb28180 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:46+0700 lvl=info msg="join connections" obj=join id=4a8de36b7f58 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:47+0700 lvl=info msg="join connections" obj=join id=bd13f9e423f4 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:47+0700 lvl=info msg="join connections" obj=join id=4a7bd0753d44 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:47+0700 lvl=info msg="join connections" obj=join id=bd4382825c69 l=127.0.0.1:5173 r=27.67.93.159:29776
